n = 8  tau_r =  1  (158 s, 24 pairs x 300 instances)
n = 8  tau_r =  2  (198 s, 24 pairs x 300 instances)
n = 8  tau_r =  4  (202 s, 24 pairs x 300 instances)
n = 8  tau_r =  8  (215 s, 24 pairs x 300 instances)
n = 8  tau_r = 16  (228 s, 24 pairs x 300 instances)
n = 10  tau_r =  1  (365 s, 24 pairs x 300 instances)
n = 10  tau_r =  2  (344 s, 24 pairs x 300 instances)
n = 10  tau_r =  4  (348 s, 24 pairs x 300 instances)
n = 10  tau_r = 10  (362 s, 24 pairs x 300 instances)
n = 10  tau_r = 20  (384 s, 24 pairs x 300 instances)

  n  tau base    kind     t       F     Corr     deep   excess     se
 10    1    1    gate  0.05  0.9958  +0.9970  +0.9957  +0.0013  0.000
 10    1    1    gate  0.12  0.9769  +0.9856  +0.9769  +0.0087  0.002
 10    1    1    gate  0.25  0.9108  +0.9559  +0.9107  +0.0452  0.005
 10    1    1    gate  0.50  0.7159  +0.8505  +0.7156  +0.1349  0.016
 10    1    1   layer  0.05  0.9642  +0.9822  +0.9642  +0.0180  0.002
 10    1    1   layer  0.12  0.8087  +0.8931  +0.8085  +0.0846  0.012
 10    1    1   layer  0.25  0.3882  +0.5785  +0.3876  +0.1909  0.038
 10    1    1   layer  0.50  0.0168  +0.2265  +0.0158  +0.2107  0.055
 10    2    0  global  0.05  0.8383  +0.8676  +0.8381  +0.0295  0.014
 10    2    0  global  0.12  0.3621  +0.4061  +0.3614  +0.0446  0.048
 10    2    0  global  0.25  0.0101  +0.1192  +0.0092  +0.1101  0.057
 10    2    0  global  0.50  0.0010  -0.0339  +0.0000  -0.0340  0.058
 10    2    0    gate  0.05  0.9883  +0.9925  +0.9882  +0.0043  0.001
 10    2    0    gate  0.12  0.9329  +0.9557  +0.9328  +0.0229  0.005
 10    2    0    gate  0.25  0.7296  +0.7918  +0.7294  +0.0624  0.022
 10    2    0    gate  0.50  0.2401  +0.3183  +0.2394  +0.0790  0.052
 10    2    0   layer  0.05  0.9512  +0.9644  +0.9512  +0.0132  0.004
 10    2    0   layer  0.12  0.7511  +0.8247  +0.7508  +0.0739  0.018
 10    2    0   layer  0.25  0.2942  +0.5339  +0.2935  +0.2403  0.041
 10    2    0   layer  0.50  0.0107  +0.2081  +0.0098  +0.1983  0.055
 10    2    1  global  0.05  0.8534  +0.9112  +0.8533  +0.0579  0.010
